TimeInterval,StartTime,EndTime,MessageCount,Throughput
-20--10,-20,-10,18674,1867.40
-10-0,-10,0,11334,1133.40
0-10,0,10,50444,5044.40
10-20,10,20,48538,4853.80
20-30,20,30,47715,4771.50
30-40,30,40,47209,4720.90
40-50,40,50,48155,4815.50
50-60,50,60,46051,4605.10
60-70,60,70,39837,3983.70
70-80,70,80,30291,3029.10
80-90,80,90,26779,2677.90
90-100,90,100,23680,2368.00
100-110,100,110,15033,1503.30
110-120,110,120,14319,1431.90
120-130,120,130,7933,793.30
130-140,130,140,6069,606.90
140-150,140,150,5904,590.40
150-160,150,160,6070,607.00
160-170,160,170,5026,502.60
170-180,170,180,939,93.90
